"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.385961688803592,0,0.368802064027032,0,0.403333243691135,0
"Afar",0.156094010496037,0,0.091094631033029,0,0.262671112180004,0
"Amhara",0.380306230267441,32798,0.355677000157711,31601,0.405352849771543,34010
"Benshangul-Gumaz",0.431371354361011,151667,0.41339586796817,147368,0.449466258251745,155972
"Dire Dawa",0.335312855080046,0,0.000145599734408839,0,0.99583193768647,0
"Gambela Peoples",0.285908314307957,96438,0.263105753048077,90424,0.310815469288346,103181
"Harari People",0.306275310404364,0,4.0210126178367e-05,0,0.996604660162648,0
"Oromia",0.401933828165702,1063353,0.331470125606262,1031282,0.526317111692253,1093943
"Somali",0.387950040752904,7416,0.0574262452479478,6863,0.987170112605174,7547
"Southern Nations, Nationalities",0.363571502967529,1892118,0.342739716417111,1732237,0.383894832835488,2050360
"Tigray",0.124180012256636,0,0.0968468586183325,0,0.167741757389405,0
"Total",0.356536566753524,3243790,0.232407693162365,3039775,0.573941378137314,3445013
