"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.0544475263873467,0,0.0149551336006226,0,0.137898306880449,0
"Ababo",0.362847417396751,6217,0.352115300683291,6020,0.373683278180376,6416
"Abay Chomen",0.344972487467946,1501,0.336343375186003,1461,0.353679301816761,1542
"Abaya",0.309839620133574,10340,0.296126074716306,9885,0.323895306982774,10805
"Abe Dongoro",0.316301127268428,5984,0.309050337657334,5865,0.323619074393177,6104
"Abergele",0.208484668175239,0,0.175758759448085,0,0.244752165343991,0
"Abeshege",0.357346114167482,8737,0.348499686074898,8509,0.366265545186465,8967
"Abichuna Gne'a",0.45256241468216,0,0.428459639900306,0,0.476832960945235,0
"Abobo",0.235140871420768,2173,0.216824984683725,2089,0.255878469970884,2259
"Abuna G/Beret",0.39321939244602,0,0.379065461322537,0,0.407506795241938,0
"Ada'a",0.36859124706822,0,0.351724288129391,0,0.385795984514399,0
"Adaa'r",0.50405746753513,0,0.367276813506179,0,0.635704603209513,0
"Adaba",0.261840211651261,0,0.241968310796668,0,0.282456229079951,0
"Adadle",0.381111659434041,0,5.62758649352219e-05,0,0.999049319081524,0
"Adama",0.358764255219345,0,0.336389977193319,0,0.381643036320993,0
"Adami Tulu Jido Kombolcha",0.305483702641625,0,0.291344751008215,0,0.320018116827806,0
"Adda Berga",0.428146819608232,0,0.410774925490612,0,0.44565091568905,0
"Addi Arekay",0.225279022676987,0,0.206803445630504,0,0.244596822624009,0
"Adola",0.28124007140873,10030,0.260479710063435,9380,0.302687502630965,10701
"Adwa",0.0311663610234742,0,0.00256287688511931,0,0.134859758188042,0
"Afambo",0.30657449464206,0,0.00549963105060145,0,0.912246007057828,0
"Afdem",0.478142433140003,0,0.0288817096809674,0,0.964170305232499,0
"Afder",0.432475747789924,0,0.000495810479030611,0,0.998604988989503,0
"Afdera",0.0387368090475245,0,0.00405486353028443,0,0.151456058732519,0
"Afele Kola",0.297737037167116,0,0.284506945661579,0,0.311222044890547,0
"Agalometi",0.301740364707148,1737,0.291992339539442,1679,0.311621279844514,1795
"Agarfa",0.253231176226047,0,0.234307734318514,0,0.272880962876421,0
"Ahferom",0.0253571307002746,0,0.000880092780990428,0,0.150037646644526,0
"Akaki",0.395544095195097,0,0.37625917122959,0,0.41505426992862,0
"Akaki - Kalit",0.357945517113222,0,0.329659823623743,0,0.386983846475982,0
"Akobo",0.0023942823523873,55,0.000363757600564981,9,0.00804839251445211,184
"Alaba",0.293299586673359,6661,0.283135059642039,6437,0.30362034502358,6888
"Alaje",0.128451115899406,0,0.0793527217370382,0,0.193752930094155,0
"Alamata",0.239754440132565,0,0.19513783124457,0,0.290516124357077,0
"Albuko",0.504287901365843,0,0.469895793859404,0,0.538651080845831,0
"Ale",0.279853032754673,11882,0.271968118440457,11575,0.287843714353523,12193
"Aleltu",0.422038502543262,0,0.401569319595971,0,0.442708645822379,0
"Alem Gena",0.399197913874031,0,0.384532990305054,0,0.413999154280669,0
"Aleta Wendo",0.243309039026761,0,0.228085650880632,0,0.259033344848976,0
"Alfa",0.282845640055306,742,0.269882922196849,708,0.296119868940847,776
"Alge Sachi",0.291558344644973,17823,0.286077280091117,17474,0.297087393114863,18174
"Alicho Woriro",0.331219445995496,0,0.322083979095809,0,0.340450028932971,0
"Alle",0.342683820058248,6620,0.331141548107009,6386,0.354369091540563,6857
"Amaro",0.307482066828975,12778,0.29702954541261,12364,0.318099429124974,13198
"Ambasel",0.46179077811726,0,0.429852539129622,0,0.493955019710442,0
"Ambo Zuria",0.374209604025383,0,0.36409506153654,0,0.384407630135407,0
"Ameya",0.359165594735358,0,0.35078510926748,0,0.367610899764164,0
"Amibara",0.466121612380537,0,0.38370945582986,0,0.549180947711673,0
