"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.103462654614726,4193,0.0312688034184238,1359,0.242282451676466,9451
"Ababo",0.315668200205402,21054,0.305414907908085,20407,0.326057866356342,21708
"Abay Chomen",0.305002142618795,14881,0.296716765565043,14510,0.31338437456854,15256
"Abaya",0.288882773839619,16093,0.275234895574879,15334,0.302889417636906,16872
"Abe Dongoro",0.290927872074453,15902,0.283862895359488,15510,0.298068805489316,16298
"Abergele",0.208053365397546,15728,0.175578673451381,13328,0.243946008464194,18377
"Abeshege",0.32398301125895,21105,0.315381533901039,20559,0.332673802992694,21656
"Abichuna Gne'a",0.354377000013467,53995,0.33174953906962,50545,0.377499558543855,57521
"Abobo",0.227661695720553,2066,0.208451437860956,1984,0.249264267637464,2150
"Abuna G/Beret",0.332265597895591,58608,0.318457267896945,56268,0.346296853232449,60984
"Ada'a",0.302626110536528,43707,0.286732815312967,41377,0.318973040633972,46106
"Adaa'r",0.351050162323211,29990,0.224308463534645,20947,0.500756075783849,40460
"Adaba",0.224963900710065,36823,0.206494093303628,33990,0.244267836489953,39776
"Adadle",0.387348522359762,0,7.40778230348537e-05,0,0.998953833031488,0
"Adama",0.295122270752575,34333,0.273986229933921,31806,0.316987006037931,36950
"Adami Tulu Jido Kombolcha",0.265616311860774,33313,0.251858360238131,31519,0.279878052642259,35185
"Adda Berga",0.351659467905503,55190,0.334707609782934,52630,0.368920296402557,57794
"Addi Arekay",0.225684500282229,21422,0.206939409135673,19641,0.245295872839756,23286
"Adola",0.256717218681637,38757,0.236841519254826,35610,0.277386543472177,42042
"Adwa",0.0481128313486824,5226,0.00449835176775444,477,0.194450491948753,21226
"Afambo",0.300571693259059,0,0.00652993874056874,0,0.915562531865574,0
"Afdem",0.369790965093307,422,0.0153425919256351,53,0.929605226685432,985
"Afder",0.449812813172438,0,0.000729415025954258,0,0.998615248226667,0
"Afdera",0.0782839722409903,722,0.0083269239854367,81,0.289680720495453,2638
"Afele Kola",0.271501298475685,26183,0.258625277105099,24937,0.284667285426447,27456
"Agalometi",0.286098271398943,3493,0.276478141723137,3385,0.295862523900039,3602
"Agarfa",0.214682528141898,33029,0.197226989007833,30297,0.232945096590253,35890
"Ahferom",0.0410029381728241,4430,0.00180191953638459,223,0.223814424345602,23186
"Akaki",0.317494519923773,28488,0.299695212573065,26811,0.335815949083188,30218
"Akaki - Kalit",0.291754657716132,5469,0.260602014661017,4885,0.324427670892255,6082
"Akobo",0.0044734595606131,103,0.000633389820607294,15,0.0153546621376163,349
"Alaba",0.270505231633377,46213,0.260520419499955,44513,0.280665914472952,47943
"Alaje",0.163107151994889,14043,0.103711503466,8859,0.239544197653962,20738
"Alamata",0.227488221882705,29208,0.184036573560554,23387,0.276909211511728,35859
"Albuko",0.380172567257894,40724,0.347355277357615,37205,0.413822719047438,44333
"Ale",0.271738244940386,14944,0.26388385514579,14522,0.279703054892606,15372
"Aleltu",0.334864332139236,20076,0.31552686968056,18916,0.354622854416927,21261
"Alem Gena",0.331162474268641,51785,0.317246776758822,49586,0.345303275867008,54020
"Aleta Wendo",0.250431062679022,28451,0.234352964988312,26632,0.267040448020614,30329
"Alfa",0.286196755111929,44210,0.273042320723847,42319,0.299669645807702,46143
"Alge Sachi",0.276548628665814,26152,0.271150966878112,25651,0.281997519868579,26658
"Alicho Woriro",0.302932108605961,35481,0.293989999866406,34425,0.31198612255818,36551
"Alle",0.328377991103362,17497,0.316564125738058,16914,0.340372864040378,18089
"Amaro",0.289014744262176,21531,0.278423061877305,20596,0.299825864605277,22492
"Ambasel",0.35380854414852,42433,0.323496230489018,38787,0.385019221604787,46188
"Ambo Zuria",0.325257782820106,68044,0.315465718319682,66058,0.335166491231182,70053
"Ameya",0.319012801753066,53844,0.310809843319177,52453,0.327302255230363,55249
"Amibara",0.344576790757179,54009,0.273529123818959,44494,0.425274138597361,64533
"Amigna",0.227968072853833,25462,0.208136928142951,23256,0.248782042296111,27779
"Amuru",0.294107202806293,19141,0.28549821681602,18644,0.302827799135273,19644
"Ana Sora",0.246962956031664,37482,0.231973016625897,35245,0.262422408152167,39788
"Analemmo",0.304761712493685,19337,0.295348068580402,18740,0.314297056654895,19941
"Anchar",0.273733949231613,17971,0.252583779774485,16571,0.295667833906636,19424
"Anderacha",0.276599882269912,6944,0.267382211738759,6718,0.285960654082858,7174
"Aneded",0.314727592895364,29032,0.297652816926013,27708,0.332282651490443,30386
"Anfilo",0.332091113548218,9416,0.322193304913762,9137,0.342101816886891,9698
"Angolelana Tera",0.338723072189563,47821,0.316823681653279,44709,0.361147934283027,51008
"Anigacha",0.284748172646042,10660,0.274055888869336,10260,0.295622348769873,11067
"Ankasha",0.263295575341144,75393,0.256025020418317,73391,0.270661711114991,77421
"Ankober",0.336129931118459,20595,0.31132536779673,19079,0.361624017133067,22153
"Antsokiya",0.396223616766799,17864,0.355103676531733,16040,0.438592403113322,19742
"Arba Minch Zuria",0.299138119017336,33037,0.288021171756648,31762,0.310518812335628,34350
"Arbe Gonna",0.246527113185011,41387,0.234052482700912,39297,0.259324665564205,43531
"Arero",0.913109242706454,42142,0.841659160234911,38711,0.957931672064879,44340
"Argoba",0.403882706028023,33302,0.364195261244646,30029,0.444526528230777,36653
"Argoba Special Woreda",0.337085381460718,13435,0.310168950491995,12339,0.364817132657182,14564
"Aroresa",0.234483740928146,41562,0.218451146198511,38725,0.251102879330771,44502
"Arsi Negele",0.257896070736377,49940,0.240281494254519,47451,0.276783789411293,52492
"Artuma Fursi",0.387640451539073,29121,0.351525224211147,26421,0.424688530401531,31890
"Aseko",0.26215786538539,23289,0.243138803282011,21605,0.281860288561403,25034
"Asgede Tsimbila",0.062616891045846,16719,0.0328050220032002,8595,0.108186545209019,29296
"Assagirt",0.331395471755611,22625,0.308504730675295,21080,0.354894435768391,24210
"Assosa",0.53940992090059,34130,0.523126816055338,33137,0.555618302544022,35122
"Atsbi Wenberta",0.0692555881590613,6703,0.0173075148006496,1698,0.181834225214838,17505
"Aw-bare",0.373332570606949,0,6.1161138653443e-06,0,0.999785269079352,0
"Awabel",0.319960970410191,47472,0.302558671710939,45119,0.3378252372448,49879
"Aware",0.381813851367788,0,2.56091351281116e-07,0,0.999983598391707,0
"Awasa",0.220549482269933,19423,0.198621696331796,17809,0.243969887449769,21113
"Awasa Zuria",0.263128938948411,40917,0.249686764484382,38900,0.276952762701945,42988
"Awash Fentale",0.337057408789326,32385,0.303533602463974,28789,0.371599511091918,36086
"Awra",0.213106842924842,27971,0.092807550891178,12820,0.394752878501889,50278
"Ayida",0.343903625715914,9366,0.330473000441137,8996,0.357529192043122,9741
"Ayira",0.259238658047493,12964,0.253037662009508,12649,0.265512016868379,13284
"Ayisha",0.33148734367774,0,0.000403007863628392,0,0.991724521118262,0
"Aysaita",0.25346572718731,15020,0.0120443237759311,728,0.789034107685174,51629
"Babile",0.343887218030349,0,4.60126981772089e-05,0,0.998314528964765,0
