"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Ab Ala",0.066,0,0,0,0,0,0,0,NA
"Ababo",0.389,6812,5961,7734,1773,6602,7024,422,4.2
"Abay Chomen",0.366,1668,1450,1917,467,1622,1714,92,5.08
"Abaya",0.349,10634,9328,11773,2445,10214,11063,850,2.88
"Abe Dongoro",0.338,6627,5828,7514,1686,6487,6769,282,5.98
"Abergele",0.234,0,0,0,0,0,0,0,NA
"Abeshege",0.373,9263,8266,10276,2010,9031,9497,466,4.31
"Abichuna Gne'a",0.45,0,0,0,0,0,0,0,NA
"Abobo",0.261,2405,2077,2829,752,2314,2497,183,4.11
"Abuna G/Beret",0.406,0,0,0,0,0,0,0,NA
"Ada'a",0.375,0,0,0,0,0,0,0,NA
"Adaa'r",0.451,0,0,0,0,0,0,0,NA
"Adaba",0.24,0,0,0,0,0,0,0,NA
"Adadle",0.388,0,0,0,0,0,0,0,NA
"Adama",0.36,0,0,0,0,0,0,0,NA
"Adami Tulu Jido Kombolcha",0.323,0,0,0,0,0,0,0,NA
"Adda Berga",0.425,0,0,0,0,0,0,0,NA
"Addi Arekay",0.253,0,0,0,0,0,0,0,NA
"Adola",0.27,9504,7806,11316,3510,8886,10143,1256,2.79
"Adwa",0.036,0,0,0,0,0,0,0,NA
"Afambo",0.263,0,0,0,0,0,0,0,NA
"Afdem",0.452,0,0,0,0,0,0,0,NA
"Afder",0.451,0,0,0,0,0,0,0,NA
"Afdera",0.054,0,0,0,0,0,0,0,NA
"Afele Kola",0.261,0,0,0,0,0,0,0,NA
"Agalometi",0.333,1917,1692,2173,481,1856,1978,122,3.94
"Agarfa",0.239,0,0,0,0,0,0,0,NA
"Ahferom",0.032,0,0,0,0,0,0,0,NA
"Akaki",0.397,0,0,0,0,0,0,0,NA
"Akaki - Kalit",0.37,0,0,0,0,0,0,0,NA
"Akobo",0.004,82,2,429,427,21,223,202,2.11
"Alaba",0.289,6418,5459,7417,1958,6189,6650,460,4.26
"Alaje",0.132,0,0,0,0,0,0,0,NA
"Alamata",0.249,0,0,0,0,0,0,0,NA
"Albuko",0.491,0,0,0,0,0,0,0,NA
"Ale",0.282,11957,10567,13577,3010,11651,12267,617,4.88
"Aleltu",0.414,0,0,0,0,0,0,0,NA
"Alem Gena",0.404,0,0,0,0,0,0,0,NA
"Aleta Wendo",0.223,0,0,0,0,0,0,0,NA
"Alfa",0.3,803,707,920,213,768,838,70,3.04
"Alge Sachi",0.299,18344,16504,20356,3852,17983,18708,725,5.31
"Alicho Woriro",0.289,0,0,0,0,0,0,0,NA
"Alle",0.354,6920,6103,7722,1619,6684,7159,475,3.41
"Amaro",0.313,13212,11755,14603,2848,12754,13676,923,3.09
"Ambasel",0.478,0,0,0,0,0,0,0,NA
"Ambo Zuria",0.377,0,0,0,0,0,0,0,NA
"Ameya",0.362,0,0,0,0,0,0,0,NA
"Amibara",0.483,0,0,0,0,0,0,0,NA
"Amigna",0.286,0,0,0,0,0,0,0,NA
"Amuru",0.352,1417,1254,1604,350,1383,1451,68,5.15
"Ana Sora",0.241,0,0,0,0,0,0,0,NA
"Analemmo",0.295,0,0,0,0,0,0,0,NA
"Anchar",0.365,0,0,0,0,0,0,0,NA
"Anderacha",0.296,0,0,0,0,0,0,0,NA
"Aneded",0.384,2420,1713,3051,1338,2251,2590,339,3.95
"Anfilo",0.371,8675,7773,9608,1835,8435,8918,484,3.79
"Angolelana Tera",0.428,0,0,0,0,0,0,0,NA
"Anigacha",0.263,0,0,0,0,0,0,0,NA
"Ankasha",0.282,0,0,0,0,0,0,0,NA
"Ankober",0.454,0,0,0,0,0,0,0,NA
"Antsokiya",0.542,0,0,0,0,0,0,0,NA
"Arba Minch Zuria",0.351,23727,21184,26112,4928,22792,24682,1890,2.61
"Arbe Gonna",0.214,0,0,0,0,0,0,0,NA
"Arero",0.893,0,0,0,0,0,0,0,NA
"Argoba",0.565,0,0,0,0,0,0,0,NA
"Argoba Special Woreda",0.473,0,0,0,0,0,0,0,NA
"Aroresa",0.226,0,0,0,0,0,0,0,NA
"Arsi Negele",0.31,0,0,0,0,0,0,0,NA
"Artuma Fursi",0.55,0,0,0,0,0,0,0,NA
"Aseko",0.324,0,0,0,0,0,0,0,NA
"Asgede Tsimbila",0.074,0,0,0,0,0,0,0,NA
"Assagirt",0.43,0,0,0,0,0,0,0,NA
"Assosa",0.593,37276,33931,40535,6604,36313,38232,1918,3.44
"Atsbi Wenberta",0.036,0,0,0,0,0,0,0,NA
"Aw-bare",0.375,0,0,0,0,0,0,0,NA
"Awabel",0.392,0,0,0,0,0,0,0,NA
"Aware",0.372,0,0,0,0,0,0,0,NA
"Awasa",0.245,0,0,0,0,0,0,0,NA
"Awasa Zuria",0.249,19620,15383,24220,8837,18640,20626,1986,4.45
"Awash Fentale",0.444,0,0,0,0,0,0,0,NA
"Awra",0.201,0,0,0,0,0,0,0,NA
"Ayida",0.347,0,0,0,0,0,0,0,NA
"Ayira",0.282,8446,7515,9430,1915,8247,8646,399,4.8
"Ayisha",0.321,0,0,0,0,0,0,0,NA
"Aysaita",0.195,0,0,0,0,0,0,0,NA
"Babile",0.35,0,0,0,0,0,0,0,NA
"Babo",0.361,16607,14946,18233,3287,16289,16927,638,5.15
"Badele Zuria",0.323,11317,10147,12469,2322,11132,11503,370,6.28
"Bahir Dar Zuria",0.303,0,0,0,0,0,0,0,NA
"Bako Gazer",0.357,42259,37891,47207,9316,40879,43654,2774,3.36
"Bako Tibe",0.322,0,0,0,0,0,0,0,NA
"Bambasi",0.499,18389,16702,20062,3360,17967,18811,844,3.98
"Banja",0.278,0,0,0,0,0,0,0,NA
"Bare",0.432,0,0,0,0,0,0,0,NA
"Basketo",0.362,3566,3160,3986,826,3473,3659,186,4.44
"Baso Liben",0.391,11372,9826,12876,3050,10978,11769,790,3.86
"Basona Worena",0.466,0,0,0,0,0,0,0,NA
"Bati",0.571,0,0,0,0,0,0,0,NA
"Becho",0.35,5332,4779,5968,1189,5198,5467,269,4.42
"Bedeno",0.331,0,0,0,0,0,0,0,NA
"Begi",0.457,22130,19908,24318,4410,21592,22670,1078,4.09
"Bele Gesgar",0.256,0,0,0,0,0,0,0,NA
"Bena Tsemay",0.378,43443,38551,48456,9905,41852,45051,3199,3.1
"Bensa",0.224,7102,5470,8951,3481,6691,7525,834,4.17
"Berahile",0.045,0,0,0,0,0,0,0,NA
"Berbere",0.215,0,0,0,0,0,0,0,NA
"Bereh",0.409,0,0,0,0,0,0,0,NA
"Berehet",0.439,0,0,0,0,0,0,0,NA
"Bero",0.623,3286,2732,3821,1089,3094,3471,377,2.89
"Beyeda",0.247,0,0,0,0,0,0,0,NA
"Bibugn",0.348,0,0,0,0,0,0,0,NA
"Bidu",0.056,0,0,0,0,0,0,0,NA
"Bila Seyo",0.336,5635,4988,6303,1315,5513,5758,244,5.39
"Bilidigilu",0.471,9484,8572,10406,1834,9266,9703,437,4.2
"Bilo Nopha",0.295,9613,8637,10658,2021,9390,9838,448,4.51
"Bio Jiganifado",0.336,18494,16461,20546,4085,18004,18990,987,4.14
"Bita",0.304,10117,8943,11317,2374,9858,10378,520,4.57
"Boh",0.362,0,0,0,0,0,0,0,NA
"Boji Chekorsa",0.281,11070,9912,12309,2397,10812,11332,520,4.61
"Boji Dirmeji",0.284,2777,2482,3100,618,2712,2843,131,4.72
"Boke",0.309,0,0,0,0,0,0,0,NA
"Bole",0.316,0,0,0,0,0,0,0,NA
"Boloso Bombe",0.369,24961,21830,28197,6366,24266,25663,1397,4.56
"Boloso sore",0.284,17049,13663,20636,6973,16494,17613,1119,6.23
"Bona Zuria",0.21,0,0,0,0,0,0,0,NA
"Boneya Boshe",0.326,0,0,0,0,0,0,0,NA
"Bonke",0.326,12354,10726,13986,3260,11984,12728,744,4.38
"Bora",0.361,0,0,0,0,0,0,0,NA
"Bore",0.242,0,0,0,0,0,0,0,NA
"Borecha",0.344,9482,8465,10407,1942,9281,9684,403,4.82
"Boreda",0.334,12902,11386,14369,2983,12524,13286,762,3.91
"Boricha",0.268,21896,17057,27024,9967,21007,22807,1800,5.54
"Boset",0.382,0,0,0,0,0,0,0,NA
"Bugna",0.376,0,0,0,0,0,0,0,NA
"Bule",0.253,0,0,0,0,0,0,0,NA
"Bule Hora",0.304,6115,5260,6939,1679,5893,6340,447,3.76
"Bulen",0.323,4857,4268,5653,1385,4685,5033,348,3.98
"Bure",0.317,13661,12226,15115,2889,13295,14031,736,3.93
"Bure Mudaytu",0.526,0,0,0,0,0,0,0,NA
"Burji",0.347,9591,8332,10887,2555,9251,9937,686,3.72
"Bursa",0.218,0,0,0,0,0,0,0,NA
"Cheha",0.36,3429,3035,3851,816,3339,3520,181,4.51
"Cheliya",0.336,0,0,0,0,0,0,0,NA
"Chena",0.309,23700,21136,26435,5298,23140,24265,1125,4.71
"Chencha",0.29,0,0,0,0,0,0,0,NA
"Chereti/Weyib",0.514,0,0,0,0,0,0,0,NA
"Cheta",0.35,8134,7271,9029,1758,7951,8319,368,4.78
"Chifra",0.349,0,0,0,0,0,0,0,NA
"Chilga",0.321,0,0,0,0,0,0,0,NA
"Chinaksen",0.371,0,0,0,0,0,0,0,NA
"Chire",0.221,0,0,0,0,0,0,0,NA
"Chiro Zuria",0.323,0,0,0,0,0,0,0,NA
"Chole",0.289,0,0,0,0,0,0,0,NA
"Chora",0.334,15623,14132,17160,3028,15308,15940,633,4.78
