"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Ab Ala",0.066,2640,182,10357,10175,945,5671,4726,2.15
"Ababo",0.389,25379,22666,28314,5649,24678,26087,1410,4.01
"Abay Chomen",0.366,17568,15470,19696,4226,17156,17982,825,5.12
"Abaya",0.349,17381,15334,19200,3866,16733,18041,1308,2.96
"Abe Dongoro",0.338,18292,16218,20466,4248,17859,18728,869,4.89
"Abergele",0.234,17703,12483,23627,11144,15090,20574,5484,2.03
"Abeshege",0.373,24147,21658,26588,4930,23579,24719,1139,4.33
"Abichuna Gne'a",0.45,68360,55891,79978,24087,64661,72087,7426,3.24
"Abobo",0.261,2405,2077,2829,752,2314,2497,183,4.11
"Abuna G/Beret",0.406,70134,62093,78338,16245,67738,72549,4811,3.38
"Ada'a",0.375,54205,47429,61297,13868,51760,56689,4929,2.81
"Adaa'r",0.451,38953,21611,57146,35535,30777,47357,16579,2.14
"Adaba",0.24,39213,30099,48961,18862,36332,42210,5879,3.21
"Adadle",0.388,0,0,0,0,0,0,0,NA
"Adama",0.36,41840,35433,48306,12874,39673,44045,4372,2.94
"Adami Tulu Jido Kombolcha",0.323,38920,33436,44068,10632,37089,40803,3714,2.86
"Adda Berga",0.425,65994,56341,75005,18664,63341,68669,5327,3.5
"Addi Arekay",0.253,24066,18887,29634,10747,22184,26023,3840,2.8
"Adola",0.27,40856,33988,47755,13767,37821,43995,6174,2.23
"Adwa",0.036,3955,619,12011,11392,312,17216,16904,0.67
"Afambo",0.263,1375,0,4559,4559,21,7233,7212,0.63
"Afdem",0.452,291,0,2556,2556,63,613,550,4.65
"Afder",0.451,0,0,0,0,0,0,0,NA
"Afdera",0.054,500,4,3191,3187,102,1382,1280,2.49
"Afele Kola",0.261,25052,18889,31870,12981,23724,26417,2693,4.82
"Agalometi",0.333,3915,3492,4380,888,3801,4030,229,3.88
"Agarfa",0.239,36416,28756,45694,16938,33603,39348,5745,2.95
"Ahferom",0.032,3369,317,11869,11552,142,18429,18287,0.63
"Akaki",0.397,35641,30459,40999,10540,33981,37321,3340,3.16
"Akaki - Kalit",0.37,6945,5201,8630,3429,6445,7457,1012,3.39
"Akobo",0.004,83,2,440,438,21,228,206,2.13
"Alaba",0.289,48447,41058,56103,15045,46714,50208,3495,4.3
"Alaje",0.132,11257,3905,22985,19080,7121,16686,9565,1.99
"Alamata",0.249,31666,20316,46004,25688,25740,38401,12661,2.03
"Albuko",0.491,52520,43600,61488,17888,48852,56195,7343,2.44
