"Location","mean_cattle_at_risk","median_cattle_at_risk","q25_cattle_at_risk","q75_cattle_at_risk","min_cattle_at_risk","max_cattle_at_risk"
"Total",4554617.086,4553037.5,4421741.5,4698856.25,3904766,5251200
"Dasenech (Kuraz)",357107.798,358868.5,339777.25,374288.25,277339,425610
"Gnangatom",241961.414,242622.5,230875.75,253286,186781,282992
"Hamer",237768.578,237949,229030.5,246342.75,194596,274421
"Omo Nada",70790.542,70711.5,67533.75,73934.5,58061,84010
"Sekoru",70586.576,70621.5,66078.75,74670.25,55279,86890
"Bako Gazer",55913.062,55908.5,53827.25,58073.75,46045,66829
"Kucha",55687.348,55754.5,53890.75,57376.25,47006,64242
"Moyale",55284.51,56388.5,55194.25,56765,16339,56914
"Teltele",50824.104,51043,47192.5,54541,33993,65127
"Mana Sibu",50539.645,50490,48735,52412.75,42730,58797
"Boricha",47336.911,46740,42003.75,52629,32269,63937
"Gambela Zuria",46811.34,46283,44298,49010.25,38130,59251
"Bena Tsemay",44855.082,44822,43259.25,46456.75,37568,52572
"Konso",44578.316,44626,43113.5,46173.5,36820,51434
"Selamgo",42539.365,42493,40968.75,44019.5,35247,51104
"Male",39711.243,39731.5,38368,41020.75,32848,46343
"Chena",39344.318,39178,37519,41036.75,32315,49015
"Zala",37947.911,37954,36797.75,39085,31819,43572
"Gena Bosa",37575.862,37566.5,35944,39175,31063,45548
"Assosa",37276.026,37306,36110.25,38462.25,31327,41877
"Goma",37137.004,37138.5,35657.75,38637,30773,44877
"Chora",36020.402,35985,34748.5,37258.5,30116,42924
"Soro",35371.342,35443,33930.5,36778.25,27993,41416
"Dedo",35071.791,34967.5,33443.75,36790.5,29085,42674
"Kemba",34017.428,34060.5,32930.25,35082,28914,39360
"Darimu",33424.282,33399,32331.5,34489.75,28594,39968
"Ofa",32370.354,32157.5,30779,34072.5,26125,39138
"Konta",32173.88,32185,31097.5,33181.25,26353,37797
"Debub Bench",32136.824,32050,30589.75,33684.25,25756,38923
"Kersa",31620.219,31571.5,30152,33196.5,25508,38141
"Arba Minch Zuria",31002.73,31023,30044.5,32024,24522,36398
"Shebe Sambo",30919.03,30849.5,29736,32043.25,26302,36550
"Surma",30749.086,30963,29147,32597,21973,37242
"Tembaro",30606.915,30610,28935.75,32247,24131,38029
"Mena",30298.813,30250.5,29003.75,31576.25,24460,37789
"Awasa Zuria",30053.2,29597.5,26278.5,33873.5,19266,41792
"Bonke",29610.904,29326,27985,31253.75,23034,36771
"Damot Gale",29589.471,29090,26338.25,32846.25,20454,40423
"Denibu Gofa",29495.229,29460.5,28384.75,30604,24522,35275
"Gudetu Kondole",29346.479,29355.5,28369,30308.75,25128,34075
"Lalo Kile",29221.719,29151.5,26797.5,31667.5,21546,38018
"Decha",29086.255,29089,28100.75,29991.5,23540,34556
"Shay Bench",28834.805,28573.5,27216.75,30422.75,22911,36034
"Melekoza",28290,28344,27259,29250.25,23058,33573
"Humbo",27638.007,27645,26722.25,28533,23495,32937
"Menit Goldiye",27435.986,27524,26336,28517.25,22604,32537
"Tocha",26330.06,26373,25400.75,27222.25,21522,31179
"Mareka",25930.444,25906,24801.75,26931.25,21784,31344
"Gida Ayana",25917.773,25892.5,24975.75,26829.5,21898,31373
"Boloso sore",25898.612,25623,23843.25,28112.75,18698,33467
"Kindo Dida",25154.872,25071,24083.75,26287.25,20609,30036
"Boloso Bombe",24960.995,24924.5,23656.5,26227.75,20230,30243
"Loka Abaya",24305.99,24246.5,23342.25,25378,18949,28975
"Sibu Sire",23708.656,23648,22731,24667,19657,28932
"Gembora",23697.16,23700,22618.5,24759.5,19514,28245
"Loma Bosa",23411.67,23413,22604.75,24213.5,19387,27466
"Miyo",23349.108,23836.5,23239,24036.25,7414,24130
"Sayo",23142.445,23123,22283.75,24002,19250,27595
"Begi",22130.256,22144.5,21366.75,22916.5,18785,25194
"Nejo",22064.377,22017.5,21223,22873.5,18778,26697
"Semen Bench",22020.017,21791.5,20336.25,23707,16554,28571
"Gidami",21427.601,21435.5,20641.75,22148.75,18120,25047
"Sodo Zuria",21345.507,21166.5,20143.25,22550.5,16702,26602
"Jarso",21213.408,21185,20335.5,22050.25,17471,25947
"Maokomo Special",20547.977,20574,19875.5,21209,17423,23385
"Siraro",20485.078,20507,19617.5,21382.75,15980,24723
"Menjiwo",20155.082,20205,19357,20970.5,16365,24318
"Amaro",20040.015,20043.5,19287,20804,16153,24079
"Abeshege",19914.927,19927,19246.5,20610.75,16699,23081
"Guto Gida",19582.788,19568.5,18886.5,20287,16295,23406
"Gawo Kebe",19540.527,19535.5,18899,20216.5,16591,22637
"Kiltu Kara",18876.648,18839,18161.5,19569,15962,22201
"Hadero Tubito",18872.067,18682,17156.25,20650,13410,24142
"Dera",18648.299,18628,17902.25,19393.5,15100,22622
"Enemorina Eaner",18585.725,18561.5,17902.5,19312,15856,21681
"Itang",18538.343,18419.5,17618.5,19347.5,15048,23574
"Bio Jiganifado",18494.23,18467.5,17779.75,19180,15668,22601
"Bambasi",18389.278,18404.5,17822,18962.25,15833,21262
"Alge Sachi",18343.657,18307,17736.5,18945,15684,22100
"Odo Shakiso",18217.714,18138.5,16854,19497,13151,24521
"Badele Zuria",18213.069,18194.5,17622.5,18829,15271,21668
"Burji",18077.236,18114,17260,18895.25,14246,21447
"Baso Liben",17418.019,17374,16662,18176,13703,21451
"Gibe",17378.935,17358.5,16619.75,18146.25,14187,20783
"Dedesa",17109.361,17059.5,16416.5,17808,14118,20736
"Diga",17025.528,17023.5,16447.75,17570,14457,20135
"Sasiga",16884.685,16809.5,16259.25,17477.25,14360,20376
"Derashe",16740.652,16779,16103,17415,13466,19735
"Babo",16606.774,16587,16024.25,17189,13978,19577
"Gimbo",16472.842,16486,15855.75,17078.75,13450,19817
"Chuko",15832.53,15714,14321,17403.25,11052,21578
"Yeki",15755.376,15749.5,15154.75,16390,13097,18641
"Metu Zuria",15683.732,15673,15167.75,16180.75,13339,18923
"Esira",15664.088,15660,15143.25,16136,12918,18426
"Ale",15480.811,15427.5,14785,16141.25,12552,19325
"Mirab Abaya",15428.936,15530.5,14713,16164.25,12187,18680
"Menit Shasha",15240.831,15282,14694.75,15763,12046,18109
"Diguna Fango",15072.911,15066.5,14465.25,15683,11943,18460
"Cheta",15031.24,15043,14486.25,15564,11790,17700
"Kindo Koysha",14938.097,14943.5,14487,15415,12508,17113
"Ubadebretsehay",14936.092,14965.5,14418.25,15432.25,12274,17386
"Dire",14930.531,15291.5,14689.75,15555,5180,15735
"Yayu",14922.602,14886.5,14324,15472.25,12569,18043
"Damot Sore",14755.729,14685.5,13958.5,15638,11352,18480
"Dabo Hana",14570.259,14553,14057.5,15070.5,12161,17500
"Guliso",14369.516,14353.5,13832,14906.25,11969,17502
"Yem",14349.538,14357,13775.75,14902,11093,17096
"Dale Sadi",14243.249,14248.5,13771,14709.25,12026,17168
"Ayira",14007.737,14006,13508.75,14537,11604,16760
"Misrak Badawacho",13879.355,13791.5,13035.75,14787.75,10067,18173
"Limu",13858.709,13793,13259.25,14380.75,11525,17017
"Ababo",13841.07,13820,13256,14396.25,11112,16971
"Kurmuk",13778.245,13786,13386.75,14206.25,11591,15561
"Bure",13661.047,13649,13214.25,14074.5,11757,16109
"Boji Chekorsa",13570.128,13544.5,13077.25,14050.75,11486,16445
"Lare",13521.703,13375,12242.75,14630,9269,19063
"Seka Chekorsa",13467.189,13442.5,12685,14292.75,10529,16710
"Bule Hora",13451.667,13438.5,12807.75,14096.5,10275,16772
"Gumay",13405.924,13390,12841,13932.25,10995,15942
"Abaya",13121.836,13141,12643.75,13644.25,10831,16028
"Boreda",12902.392,12916.5,12343.75,13429.25,10133,15167
"Dillo",12699.624,12985,12421,13291,5528,13566
"Bensa",12542.665,12457,11420,13614.25,8046,18050
"Alle",12374.372,12387.5,11964.75,12799.5,10339,14527
"Borecha",12356.927,12373.5,11944,12779.5,10067,14787
"Limu Seka",12329.979,12350.5,11867.75,12774.5,9556,14457
"Gelana",12064.164,12080.5,11596,12529.5,9831,14758
"Dara",12054.733,11963.5,11315.75,12754.5,8896,15889
"Melka Soda",11992.508,11904.5,10843.75,13104.75,6675,17347
"Wama Hagalo",11710.255,11682,11304.75,12103.75,10059,14028
"Adola",11520.728,11495,10751.75,12288,8284,15203
"Geze Gofa",11483.07,11502,10963,11980.75,9334,13646
"Wenbera",11206.462,11157.5,10747,11639,9540,13507
"Nunu Kumba",11192.013,11180,10828.75,11557.5,9390,13190
"Jimma Horo",11140.909,11097.5,10597,11656.25,8616,14026
"Yirgachefe",10797.54,10773.5,10052,11620.75,7581,13932
"Chwaka",10604.613,10555.5,10171.75,11008.75,8876,13096
"Kiremu",10192.445,10147,9794.25,10554.75,8611,12709
"Bita",10116.63,10143,9675,10520.5,8139,12031
"Maji",10075.362,10071,9656.5,10508,8106,12023
"Dita",9954.535,9939.5,9314.5,10599,7393,12479
"Bilo Nopha",9612.796,9606,9276.25,9941.25,8195,11528
"Aroresa",9603.133,9528,8771.5,10298.25,6118,13837
"Bilidigilu",9484.018,9498,9187,9797.25,8050,10890
"Yama Logi Welel",9478.654,9472,9126.25,9842.5,7826,11263
"Dibat",9444.026,9392.5,9009.75,9851,7614,11620
"Saba Boru",9419.876,9484,8485.75,10384.5,4454,13061
"Debre Elias",9389.688,9369.5,9025,9736,7622,11526
"Jimma Arjo",9041.181,9024,8760.25,9326,7729,10624
"Kochere",8951.934,8922.5,8332.25,9553.75,6346,11913
"Yubdo",8873.814,8864.5,8541.25,9215.5,7438,10693
"Abe Dongoro",8827.961,8800.5,8463,9180.75,7443,10821
"Anfilo",8675.212,8682,8362.75,8976.25,7400,10147
"Gaji",8510.373,8493.5,8160,8845.25,7166,10458
"Kercha",8509.054,8509.5,7958.75,9051,6383,11201
"Nole Kaba",8476.449,8473.5,8186,8749,7208,10277
"Dima",8458.614,8462,7981.75,8944.25,6000,10589
"Hurumu",8424.623,8407,8130.75,8728.5,7009,10094
"Bila Seyo",8412.485,8401.5,8096.5,8722.75,7133,10204
"Basketo",8047.02,8054.5,7774,8324,6296,9577
"Godere",8040.59,8030,7708.25,8356.75,6594,9658
"Becho",7910.912,7917.5,7614.5,8191.25,6695,9416
"Lalo Asabi",7888.955,7878,7587.75,8189,6650,9558
"Damot Weydie",7872.753,7872,7594.25,8151,6596,9554
"Harena Buluk",7459.076,7439,6854.25,7975.75,5265,10693
"Dorani",7203.733,7173.5,6904.25,7482,6029,8720
"Leka Dulecha",7143.138,7141,6921,7378,6073,8498
"Jawi",7114.014,7095.5,6857,7380.75,5856,8447
"Girja (Harenfema)",6727.751,6707.5,6304.75,7162.75,4848,9016
"Wayu Tuka",6695.076,6691,6473.5,6953.75,5382,7798
"Bulen",6650.547,6619.5,6333.5,6922.75,5437,8227
"Wara Jarso",6634.066,6626.5,6311.75,6933.25,4942,8240
"Hawa Galan",6497.422,6506,6245.75,6729.25,5343,7657
"Daramalo",6424.441,6436,6182.75,6661,5259,7556
"Alaba",6417.686,6406,6070.25,6761.5,4804,8085
"Dugda Dawa",6144.545,6161,5854.75,6467.5,4743,7355
"Shashemene Zuria",6124.96,6046.5,5623.75,6574.25,4251,8432
"Haro Limu",6123.999,6087,5846.75,6368,5140,7639
"Nefas Silk",5809.031,6028,3924.75,7586,935,10647
"Gurafereda",5700.152,5691,5482.75,5917,4811,6828
"Halu",5605.079,5605,5419.75,5796.25,4740,6601
"Ginde Beret",5545.1,5527.5,5308,5767.25,4429,6821
"Jarte Jardega",5440.217,5432.5,5204.75,5663,4425,6893
"Sheka",5282.408,5293,5060.5,5489.25,4233,6361
"Abay Chomen",5276.545,5268,5032.25,5495.25,4296,6714
"Yaso",5163.647,5146,4893.5,5414,4051,6639
"Guzamn",5131.563,5121,4893.5,5357.25,4045,6419
"Gimbi",5065.596,5063.5,4869,5254.25,4265,6236
"Sayo Nole",5032.926,5034.5,4843.75,5224.5,4172,6056
"Boji Dirmeji",4891.139,4889,4710,5077,4059,5849
"Getawa",4786.385,4792,4577.75,4992.25,3877,5830
"Nenesebo",4712.068,4693,4296.5,5095,3170,6741
"Dale Wabera",4599.945,4606,4423.5,4760.5,3789,5408
"Ibantu",4548.698,4534,4340.75,4726.75,3812,5735
"Aneded",4536.547,4535,4266.75,4813.25,3209,6094
"Abuna G/Beret",4357.461,4355.5,4155,4544.75,3373,5417
"Takusa",4329.736,4308,4070.75,4561.5,3027,5699
