"Location","mean_prevalence","median_prevalence","q25_prevalence","q75_prevalence","min_prevalence","max_prevalence"
"Miyo",0.966407552766316,0.987308075240756,0.961586376420446,0.995935465423843,0.294648342304919,0.999976278821133
"Moyale",0.950724801529132,0.975950620029464,0.939306223974717,0.990711176613018,0.263406876632465,0.999864955993197
"Dehas",0.946375088433386,0.97314938607973,0.93135499530633,0.989502690335052,0.270461940218301,0.99985604675798
"Dire",0.922507093519949,0.947384575691705,0.895883886025191,0.974603954071166,0.308148439375819,0.998958831962823
"Dillo",0.913016563092712,0.935423280947389,0.882452582725165,0.964430020226216,0.386075451160583,0.997898845911723
"Arero",0.893279119779801,0.921444812791212,0.856995186225985,0.957119226700002,0.275187594032404,0.99730220442046
"Hudet",0.865164131127139,0.89752509477122,0.813753251993401,0.945643616816791,0.236805117501223,0.997429416330111
"Liben",0.835161905751107,0.862521415596768,0.778131214467748,0.917941658030696,0.254031376287205,0.992834579537264
"Dolo Odo",0.760990336116225,0.776014270907847,0.68312196645841,0.845783224339846,0.322973362973157,0.970612239454078
"Yabelo",0.735990306574284,0.748599957259185,0.673409154013414,0.806520715421304,0.287371322934594,0.942581829933355
"Filtu",0.729532615014664,0.74608871684101,0.645556619989255,0.818987139817995,0.262283647191751,0.955897341929378
"Surma",0.723567264694178,0.72703384387939,0.686867786893096,0.765946507365652,0.519700887512133,0.876127596591635
"Dasenech (Kuraz)",0.685041216646124,0.687427641771173,0.655381781155374,0.716316120176961,0.520313597205543,0.804747305363586
"Kurmuk",0.674235439048746,0.674655368326961,0.653382972830717,0.695203602600187,0.568827481759939,0.766009104747876
"Teltele",0.670051436458305,0.675761695030253,0.620767612729163,0.72449615593628,0.392500543089642,0.855358808847061
"Goro Dola",0.669388532092563,0.676610364433354,0.592901418866522,0.751466104684292,0.254181732165421,0.932569365697626
"Gnangatom",0.634272723780536,0.63508275863207,0.606088219483805,0.66352648810404,0.48839527743885,0.745259309736332
"Bero",0.623197416151419,0.623943767210528,0.58721307152954,0.658804357380031,0.45470646175037,0.779464734930583
"Sherkole",0.614077638514758,0.613402125838434,0.593197252100136,0.635964238052964,0.51776522736258,0.711741168666416
"Homosha",0.610927212216818,0.61157454587289,0.592430249159111,0.63005292064933,0.519798524283732,0.69480316009234
"Saba Boru",0.609338509560332,0.61192342603412,0.539758908676656,0.679617301443216,0.255170607961352,0.867606600209096
"Dolobay",0.607996806022951,0.606474798144786,0.542079652538343,0.669087455951069,0.355947955938305,0.866982892023659
"Dewe",0.59604170050619,0.601046833068088,0.547388789189609,0.658584468625304,0.343249455033174,0.818578390192011
"Assosa",0.593218674149536,0.59352269696079,0.574939685981927,0.611209390367573,0.497916513298766,0.66844602627333
"Dima",0.589499844985934,0.590626483843158,0.558236271069312,0.620842942120304,0.418627789128608,0.736261593002237
"Meda Welabu",0.584478400748931,0.59143395322188,0.515425837444398,0.657561225107897,0.236439068719284,0.818205457938673
"Dewa Harewa",0.573551685447578,0.573152646541422,0.53684618166139,0.610194694406973,0.40012081453145,0.736555822447244
"Hadelela",0.5712530464061,0.575338854246406,0.520101660130204,0.635303966430075,0.316452606313918,0.813950034481449
"Dalfagi",0.571093396329562,0.573214396377821,0.522271848770742,0.628195533364699,0.338873513678008,0.797744793517615
"Bati",0.570924895584738,0.570618378574244,0.534879555336065,0.60961319492754,0.391633951062198,0.734067365332801
"Argoba",0.564711467389816,0.565347765037123,0.529113061949307,0.600173008847056,0.395190785691205,0.732388916486964
