"Location","mean_prevalence","median_prevalence","q25_prevalence","q75_prevalence","min_prevalence","max_prevalence"
"Somali",0.775148162311904,0.793062344712572,0.73329978186677,0.838040367120469,0.262015875290677,0.927765404640557
"Benshangul-Gumaz",0.436951053086966,0.436147416210009,0.421911743309588,0.451202505584884,0.371592239093865,0.510727030426758
"Oromia",0.429039175965282,0.430581225029675,0.412592259002765,0.448621126503387,0.311102034643329,0.495902044210118
"Total",0.378667809594036,0.37892786018684,0.36328272066452,0.393639967925567,0.307622430852755,0.446226538486591
"Amhara",0.377984889491113,0.377940043202199,0.359635783877458,0.396048959016595,0.280781905155262,0.471064836241179
"Southern Nations, Nationalities",0.37546762016887,0.375869943932363,0.364083975454365,0.386219267015113,0.324783844169834,0.434833948675487
"Addis Abeba",0.315519145009999,0.312612237198809,0.246155226453365,0.382634591370715,0.132315722203248,0.524725261176648
"Gambela Peoples",0.312062929669343,0.312188895151362,0.297787020126241,0.325571308301654,0.247039723414873,0.382051312965097
"Afar",0.212761637459938,0.188566663882823,0.156102211785235,0.244161690773675,0.0825458239560587,0.666740797931115
"Tigray",0.140087561018495,0.13603215023151,0.120823413748096,0.153896654638012,0.0850951169680982,0.262811288842841
