"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abia",0.304386904989364,2475,0.237318036764319,1906,0.375969542457083,3085
"Adamawa",0.311650460910119,39475,0.268298987589387,34140,0.35333092910039,44821
"Akwa Ibom",0.354653337203217,2956,0.25060103117597,2099,0.461162899753399,3843
"Anambra",0.377279727975926,8020,0.348989425864504,7455,0.406235873586939,8596
"Bauchi",0.330685139792411,116811,0.308142336465459,110514,0.354058055953659,123220
"Bayelsa",0.849168257681994,1918,0.545714104720846,1258,0.978237112467178,2194
"Benue",0.334838199695892,71525,0.314915042299618,67254,0.355216903057955,75893
"Borno",0.668541051359948,53775,0.617364542687304,49032,0.712367548115208,57821
"Cross River",0.191385836056782,3278,0.167686249536967,2974,0.217112229634309,3602
"Delta",0.693581584623657,20575,0.513616539153285,15444,0.807575758256415,23860
"Ebonyi",0.356322576057302,12333,0.331790050748884,11497,0.381428246285867,13188
"Edo",0.518131313506135,17992,0.445634040464723,16081,0.582299570227047,19748
"Ekiti",0.32040586465689,1955,0.295671740933553,1807,0.345876379762435,2105
"Enugu",0.369397197275927,13203,0.34617014834124,12392,0.393101092592023,14029
"Federal Capital Territory",0.344602918622557,77223,0.323728058106574,72588,0.366009930092206,81973
"Gombe",0.283225634120834,26872,0.26022685538734,24927,0.307080243802487,28884
"Imo",0.384295852397256,3585,0.303582141022889,2933,0.465678199060389,4252
"Jigawa",0.185824258543097,0,0.156600044109369,0,0.220108455645846,0
"Kaduna",0.270954054034024,119816,0.254478498311807,112452,0.287965180241458,127418
"Kano",0.243308055640832,597,0.220626291549036,525,0.267131065210006,674
"Katsina",0.176658650622955,2967,0.139457991682132,1056,0.225489801513867,6067
"Kebbi",0.0889717953693499,56617,0.0607994481751079,41993,0.126404668050178,75025
"Kogi",0.437956393146757,138248,0.4113045763045,130000,0.464870470486813,146560
"Kwara",0.22612024516207,106226,0.205851628229804,97078,0.247740275735864,115939
"Lagos",0.872158203797587,3155,0.818074370505936,2986,0.914870807097735,3286
"Nasarawa",0.449133371758681,211677,0.425597617455347,200566,0.472818125088042,222861
"Niger",0.195821911469994,318064,0.175892758912178,285912,0.217306891340527,352722
"Ogun",0.736706537355115,30712,0.685376767464986,28700,0.782197903207019,32493
"Ondo",0.535166107513056,4394,0.467480532435586,3837,0.589818415456531,4831
"Osun",0.288395368372081,9535,0.264049721835848,8725,0.313701454182495,10378
"Oyo",0.263140780108717,71664,0.236947042347581,64474,0.290767851474216,79253
"Plateau",0.366630145835359,237660,0.346088370142142,224835,0.387510995317847,250658
"Rivers",0.691903483885853,1423,0.426839383783344,888,0.876790795771686,1818
"Sokoto",0.129017637420345,22228,0.0912357529514381,15026,0.175531420380963,31315
"Taraba",0.0997875258732931,101514,0.0870542165424172,88835,0.114680871222064,116726
"Yobe",0.12014665246131,2197,0.090901191926249,1160,0.162856292134655,3974
"Zamfara",0.168996713341066,43757,0.139725117435335,37227,0.201808166687357,50965
"Total",0.31340562981675,1956422,0.275122551538768,1780578,0.349200525706931,2144077
