"state","raster_cattle","official_cattle","correction_factor"
"Rivers",2155.59840679044,127800,59.2874811919568
"Lagos",3534.25264398121,163500,46.261548471482
"Ekiti",5751.29663096375,70410,12.2424567046199
"Ogun",41707.0460248275,485870,11.6495903284728
"Ondo",8408.66664488058,85680,10.1894870635839
"Osun",34737.7601622766,307220,8.84397838446778
"Ebonyi",34383.9276238676,254410,7.39909654251952
"Kano",563591.074507788,4104230,7.28228353081075
"Nasarawa",477688.140079277,3441770,7.20505641908716
"Kwara",473070.258014227,3405000,7.19766238167861
"Kogi",309560.40167245,1668790,5.39083807549057
"Oyo",279068.665461378,1431540,5.12970525599235
"Federal Capital Territory",227296.135811156,1123250,4.9417910075393
"Cross River",14330.4066803395,70080,4.8903008521137
"Bauchi",1750878.33337686,8209300,4.68867530285043
"Adamawa",901418.118743944,4156500,4.61106773157806
"Anambra",20808.4742378426,85690,4.11803378856884
"Akwa Ibom",8539.69409878088,34940,4.09148145072175
"Plateau",1043023.88288171,3648030,3.49755174341845
"Jigawa",950135.962374598,3144300,3.30931585006182
"Kaduna",1440836.61332007,4372190,3.03448007885176
"Kebbi",1226434.81647728,2800020,2.28305651664601
"Gombe",671663.81621634,1531220,2.27974168479965
"Katsina",936097.07627291,2061760,2.20250661203744
"Niger",1628924.62564706,3229750,1.98274981490752
"Taraba",1196120.71585129,2367300,1.97914806476298
"Delta",30474.5674724902,57560,1.88878808704866
"Enugu",35117.2928282603,65700,1.8708731427933
"Bayelsa",2275.48923658441,3780,1.66118122609708
"Benue",218081.863035072,320870,1.47132822296367
"Sokoto",1314259.86264831,1732550,1.31827049523434
"Imo",9989.52560909809,13130,1.31437672956578
"Edo",35907.0417555272,39820,1.10897467608482
"Yobe",1734404.92407831,1880640,1.08431426473227
"Abia",7774.45275428056,7070,0.909388766444983
"Zamfara",1219486.07230953,859620,0.704903499530753
"Borno",2221333.04313955,1132780,0.509955048613048
"Total",21079269.8947299,58494070,2.77495711626257
