"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.990101418652059,12118,0.980630146151416,12057,0.99563561330376,12153
"Abaji",0.329429086149851,10094,0.303688615881633,9303,0.355955598013913,10909
"Abak",0.196498302090895,60,0.147573151219961,45,0.254959474607719,78
"Abakaliki",0.277912826689596,1069,0.253460094345261,975,0.30340504404685,1166
"Abeokuta North",0.656116518613705,2391,0.59935350545549,2183,0.709402717749101,2587
"Abeokuta South",0.521805323352011,267,0.47369447885219,243,0.569650503822962,292
"Abi",0.258360759948114,218,0.23003424682175,195,0.288001480305635,242
"Aboh-Mbaise",0.272182588651026,83,0.223196339744395,68,0.327080306614624,100
"Abua/Odual",0.604958894055419,67,0.281242047309237,32,0.879267917237166,97
"Abuja",0.311628686644971,17529,0.287670561395988,16173,0.336374822358448,18932
"Adavi",0.534348572004581,6398,0.50470269577381,6042,0.563742473799656,6752
"Ado",0.328713058850099,1532,0.306300472438428,1430,0.35176090608864,1637
"Ado Odo/Ota",0.849370827376317,2384,0.787222228364955,2205,0.89883903712152,2527
"Ado-Ekiti",0.486608450999742,134,0.45521828596608,125,0.518074860046534,143
"Afijio",0.283889655454235,1414,0.256181161742889,1274,0.312903169478454,1561
"Afikpo North",0.224843722660606,183,0.201443173947368,164,0.249586081437036,203
"Afikpo South",0.216934861236419,111,0.194739500221347,100,0.240474901048791,122
"Agaie",0.313820755988274,14931,0.289508158720558,13762,0.338714606282819,16129
"Agatu",0.492108422523611,4790,0.450495563613252,4339,0.534301531435405,5248
"Aguata",0.26010318714642,132,0.238412623542736,121,0.282688267177362,143
"Agwara",0.208727883082525,6194,0.166970914164092,4968,0.253616541227579,7580
"Ahiazu-Mbaise",0.225973965869708,41,0.202805466129678,37,0.250504206845274,46
"Ahoada East",0.499239540804929,20,0.235779987019696,9,0.771957640245211,31
"Ahoada West",0.55191136150879,39,0.25831604119821,18,0.826206990873046,59
"Aiyedade",0.412026007001119,1314,0.380967218764601,1213,0.443629211152538,1418
"Ajaokuta",0.556342705620196,9380,0.520662933347034,8779,0.590965616711196,9963
"Ajingi",0.170680877818796,0,0.148700356637667,0,0.194483263820043,0
"Akamkpa",0.137353215297141,88,0.115140912203401,74,0.162036862734591,104
"Akinyele",0.322015669199307,1117,0.299434569824783,1045,0.345296375141564,1192
"Akko",0.255857189872954,10996,0.233689227544266,10133,0.279022300425592,11890
"Akoko North-East",0.551432416483499,489,0.523932432038949,466,0.578696428303533,512
"Akoko North-West",0.539427005129941,263,0.509249101405435,249,0.569384649861583,277
"Akoko South-East",0.51096462004666,89,0.481367793614598,83,0.54050382340437,94
"Akoko South-West",0.512014075961178,188,0.48401498512621,178,0.539975033393678,199
"Akoko-Edo",0.532838497738146,2611,0.504771575628881,2474,0.560753804669399,2747
"Akpabuyo",0.245796558001968,41,0.202793194621439,32,0.289768862965548,50
"Akuku-Toru",0.867143041395833,77,0.623186963036033,55,0.979313868451867,86
"Akure North",0.504334784427526,168,0.473109210604025,158,0.535478306857759,179
"Akure South",0.475921467983718,111,0.445188847695478,104,0.506783682355867,119
"Akwanga",0.467981781036095,7014,0.443469869935459,6645,0.492612594270155,7385
"Albasu",0.199594624748433,0,0.177977918380142,0,0.22260337438746,0
"Aleiro",0.140521772889209,0,0.0951073839813464,0,0.197374907451433,0
"Alimosho",0.809705105674725,178,0.740532395348239,164,0.867037433179044,190
"Alkaleri",0.383034663234507,37413,0.356519266073216,34800,0.409976434887479,40097
"Amuwo Odofin",0.849092554143383,208,0.781395158591242,192,0.902548317613064,221
"Anambra East",0.369595142288417,624,0.333401588438272,563,0.406523614115703,686
"Anambra West",0.334231060723286,1160,0.261093874249544,886,0.44910808415979,1599
"Anaocha",0.292626232352889,129,0.270807628605529,120,0.315165297858027,139
"Andoni",0.588499954766045,24,0.344633926613127,15,0.81680635252889,32
"Aninri",0.278970644550064,368,0.255212835393432,336,0.30365776149215,400
"Aniocha North",0.385892249692085,307,0.35714519721027,285,0.415114899099014,330
"Aniocha South",0.344661189530342,572,0.314786848736881,523,0.375628839672127,622
"Anka",0.117735794721551,2710,0.0892439388397369,2094,0.151614159546734,3431
"Ankpa",0.367964071182327,4789,0.341532821991671,4443,0.395069269782883,5143
"Apa",0.454928132582616,2553,0.429976674932154,2412,0.480090451011688,2694
"Ardo-Kola",0.129284629960811,2693,0.112709952149806,2354,0.14738469808,3062
"Arewa Dandi",0.145435367754597,751,0.0855415641044277,433,0.224893094203836,1153
"Argungu",0.116743836527427,0,0.0759528451108614,0,0.169392094235562,0
"Arochukwu",0.160684912883942,64,0.139158637717633,55,0.184082716484373,73
"Asa",0.280406648392636,6581,0.257720435872821,6046,0.303967535880652,7135
"Asari-Toru",0.826554240019456,27,0.568299212106457,19,0.962657731450247,31
"Askira/Uba",0.510215215089531,1229,0.437647893143556,1110,0.579621864534208,1353
"Atakumosa East",0.395213566086717,415,0.365053166680219,383,0.425974002522504,448
"Atakumosa West",0.355379969593265,476,0.324502830023175,435,0.387162389103937,519
"Atiba",0.231766231971312,3116,0.20462022196914,2785,0.260743819975766,3467
"Atisbo",0.169295022086023,4044,0.142306027770411,3415,0.199121667568493,4737
"Augie",0.0962918999715244,0,0.0640772959461393,0,0.137703121356917,0
"Auyo",0.189262879117181,0,0.147218022562071,0,0.243856346509134,0
"Awe",0.321945250884297,14278,0.298199308664,13217,0.349438151755753,15553
"Awgu",0.272012167860895,485,0.249238710355762,445,0.295651944603514,527
"Awka North",0.337095621306245,665,0.313451903641052,618,0.361346703738872,713
"Awka South",0.275992037618511,343,0.252985871157358,315,0.299930155558016,372
"Ayamelum",0.372591846910306,1105,0.332868211090305,986,0.414469887046356,1230
"Ayedire",0.29906692127995,199,0.270632564589701,180,0.328684194424956,219
"Babura",0.154161672539587,0,0.126661152146721,0,0.185323999402796,0
"Badagry",0.852702333396006,617,0.711201982669183,507,0.930942062099504,676
"Bade",0.304492884697474,0,0.189334069387199,0,0.440947410024195,0
"Bagudo",0.183445917409459,18509,0.125335607292207,12822,0.254679943471706,25430
"Bagwai",0.184189966782115,0,0.166635711349603,0,0.202759496889834,0
"Bakori",0.179631363257347,0,0.16438637761709,0,0.195656164377466,0
"Bakura",0.0853552608250372,376,0.0586455258597452,259,0.119202298376717,526
"Balanga",0.179499473410321,0,0.160711793191774,0,0.199489466254036,0
"Bali",0.106265638567395,12814,0.0881482852521026,10640,0.126759190332005,15270
"Bama",0.970526733577374,0,0.910228212001163,0,0.993916495329153,0
"Barkin Ladi",0.252127516746091,4290,0.22878886640453,4027,0.276626290598609,4561
"Baruten",0.122756019067944,14266,0.100764245189563,11727,0.147604143307471,17132
"Bassa",0.393777606632357,14836,0.363891598769103,13558,0.423874525146941,16118
"Batagarawa",0.127057230310872,0,0.104589659319514,0,0.152347744402766,0
"Batsari",0.109679687621438,0,0.0889441330271005,0,0.133329625111848,0
"Bauchi",0.304553971363313,23276,0.284063147780861,21755,0.325640818048868,24835
"Baure",0.117952387851168,0,0.0763506460867853,0,0.172617479909096,0
"Bayo",0.302486940244863,0,0.274877182020935,0,0.331188710711418,0
"Bebeji",0.265969429778841,0,0.241445625725109,0,0.290604915856115,0
"Bekwarra",0.237103347899899,147,0.219607275091241,137,0.25530015841119,158
"Bende",0.189440563879643,129,0.167782140038674,114,0.212636501191544,144
"Biase",0.154204701942543,71,0.127556867947092,59,0.189189127240444,87
"Bichi",0.202396631082431,0,0.176898245555109,0,0.228504058189696,0
"Billiri",0.194494274639655,1853,0.175965112532004,1690,0.214071728421048,2024
"Bindawa",0.129562956883221,0,0.111776532659574,0,0.149037563096889,0
"Binji",0.053124031807642,0,0.0336011374107201,0,0.0798472592804478,0
"Biriniwa",0.212612809241203,0,0.14155949504798,0,0.299497001942078,0
"Birnin Gwari",0.243142186107048,18435,0.21910612752477,16528,0.268451918130816,20450
"Birnin Kebbi",0.14064013677914,0,0.0903870916617261,0,0.205287292997725,0
"Birnin Kudu",0.208967560253792,0,0.186876903587034,0,0.232425423689387,0
"Birnin-Magaji/Kiyaw",0.110265055917571,0,0.0877457175688036,0,0.136258625477916,0
"Biu",0.289763676827189,0,0.259010010451669,0,0.322020414400029,0
"Bodinga",0.0730544752211855,0,0.0500508749286326,0,0.102368646229138,0
"Bogoro",0.306712366008034,1145,0.28465723419256,1085,0.329499353709942,1205
"Boki",0.148332528091671,157,0.126833002097774,135,0.171951307576783,181
"Bokkos",0.36707041908782,21467,0.341080109235825,20022,0.393618581440258,22943
"Boluwaduro",0.376148899492801,282,0.348386271939988,261,0.404533029269775,304
"Bomadi",0.661869638814527,185,0.304607872752171,85,0.918970482539137,256
"Bonny",0.850680274814547,66,0.641992514856213,50,0.964618715121635,74
"Borgu",0.161644915462755,22764,0.13141670081419,18288,0.195207460340353,27871
"Boripe",0.365759271049843,361,0.342548458776666,339,0.389442440198653,385
