"state","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Abia",0.25,1783,1239,2442,1203,1399,2225,826,1.46
"Adamawa",0.325,198651,138315,269798,131483,166636,232473,65837,2
"Akwa Ibom",0.289,9615,4993,15425,10432,6849,12682,5833,1.79
"Anambra",0.346,30067,24700,35630,10930,26997,33445,6448,1.7
"Bauchi",0.318,527724,438825,604703,165877,492729,563558,70829,2.34
"Bayelsa",0.476,1450,212,3274,3062,693,2221,1528,2
"Benue",0.297,93747,79839,108598,28759,85783,102028,16244,1.77
"Borno",0.656,26810,19836,30986,11150,24024,29168,5144,2.17
"Cross River",0.222,16401,13394,19826,6432,14641,18310,3669,1.75
"Delta",0.483,25603,12172,40918,28746,17177,33853,16677,1.72
"Ebonyi",0.319,81642,66124,97388,31264,74933,88568,13635,2.29
"Edo",0.483,18544,15088,22161,7073,16303,20745,4442,1.59
"Ekiti",0.365,26326,20555,33177,12622,24155,28550,4395,2.87
"Enugu",0.321,21363,17923,25280,7357,19680,23100,3421,2.15
"Federal Capital Territory",0.325,358627,296566,421059,124493,328722,389629,60907,2.04
"Gombe",0.305,64903,49691,78902,29211,59642,70350,10709,2.73
"Imo",0.305,3999,2781,5304,2523,3259,4794,1535,1.64
"Jigawa",0.198,0,0,0,0,0,0,0,NA
"Kaduna",0.286,388988,329336,443327,113991,360864,418036,57172,1.99
"Kano",0.234,3981,2533,5528,2994,3448,4557,1109,2.7
"Katsina",0.141,4386,2665,6302,3638,1872,8446,6574,0.55
"Kebbi",0.111,152358,88507,246756,158250,111185,203633,92448,1.71
"Kogi",0.396,669875,529936,825183,295246,613858,726967,113109,2.61
"Kwara",0.253,843831,703579,995172,291593,762082,930542,168460,1.73
"Lagos",0.774,127325,101448,146095,44647,113105,139476,26371,1.69
"Nasarawa",0.408,1382014,1186134,1561217,375084,1288644,1477641,188997,1.98
"Niger",0.214,670283,561055,799393,238338,593481,753208,159727,1.49
"Ogun",0.668,319627,266122,368118,101996,290590,346128,55537,1.84
"Ondo",0.525,43412,34394,52660,18266,37151,49352,12201,1.5
"Osun",0.349,101094,83750,120854,37103,92769,109693,16924,2.19
"Oyo",0.298,416707,337573,504187,166615,373319,462385,89066,1.87
"Plateau",0.339,750565,655105,839603,184498,698671,803763,105092,1.76
"Rivers",0.388,43322,11619,86567,74948,22805,67025,44220,1.69
"Sokoto",0.064,16386,5152,37444,32292,10581,24148,13568,2.38
"Taraba",0.129,242760,191678,303877,112200,209993,281854,71860,1.56
"Yobe",0.197,6984,1891,17570,15679,3864,11359,7495,2.09
"Zamfara",0.102,22552,12302,35177,22875,18463,27246,8783,2.6
"Total",0.329,7713706,6929699,8478917,1549218,6970368,8501161,1530793,1.01
