"state","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Abadam",0.871,11089,8034,12099,4065,10263,11648,1385,2.94
"Abaji",0.329,10113,8023,12266,4243,9333,10918,1584,2.68
"Abak",0.227,69,38,106,68,52,89,37,1.84
"Abakaliki",0.345,1330,998,1670,672,1214,1451,237,2.84
"Abeokuta North",0.645,2361,1900,2762,862,2147,2562,415,2.08
"Abeokuta South",0.55,282,206,354,148,253,310,56,2.64
"Abi",0.3,256,188,327,139,229,285,56,2.48
"Aboh-Mbaise",0.288,88,58,121,63,72,106,34,1.85
"Abua/Odual",0.391,41,5,85,80,16,70,53,1.51
"Abuja",0.3,17297,13590,21344,7754,15689,18976,3287,2.36
"Adavi",0.478,5722,4305,7255,2950,5294,6154,860,3.43
"Ado",0.323,1512,1242,1828,586,1402,1624,222,2.64
"Ado Odo/Ota",0.814,2285,1859,2579,720,2084,2452,368,1.96
"Ado-Ekiti",0.402,111,88,139,51,103,121,18,2.83
"Afijio",0.312,1608,1260,1978,718,1449,1773,324,2.22
"Afikpo North",0.283,230,175,283,108,207,253,46,2.35
"Afikpo South",0.27,138,105,168,63,127,150,23,2.74
"Agaie",0.308,14753,11733,17850,6117,13548,15992,2444,2.5
"Agatu",0.439,4308,3442,5217,1775,3886,4744,859,2.07
"Aguata",0.291,147,112,184,72,135,161,26,2.77
"Agwara",0.172,5375,3520,8079,4559,4274,6638,2364,1.93
"Ahiazu-Mbaise",0.282,52,35,69,34,46,57,11,3.09
"Ahoada East",0.351,14,2,29,27,6,23,17,1.59
"Ahoada West",0.379,27,4,56,52,11,45,34,1.53
"Aiyedade",0.415,1325,1080,1578,498,1225,1427,202,2.47
"Ajaokuta",0.511,8626,6764,10480,3716,7943,9293,1350,2.75
"Ajingi",0.233,0,0,0,0,0,0,0,NA
"Akamkpa",0.202,134,76,197,121,114,156,41,2.95
"Akinyele",0.33,1181,980,1377,397,1088,1276,188,2.11
"Akko",0.307,12202,9456,14883,5427,11231,13206,1975,2.75
"Akoko North-East",0.437,388,293,498,205,358,418,60,3.42
"Akoko North-West",0.409,201,149,261,112,184,218,35,3.2
"Akoko South-East",0.394,67,47,91,44,61,74,13,3.38
"Akoko South-West",0.409,149,112,191,79,137,161,24,3.29
"Akoko-Edo",0.442,2167,1663,2749,1086,1996,2340,344,3.16
"Akpabuyo",0.281,65,36,99,63,51,82,32,1.97
"Akuku-Toru",0.465,29,0,84,84,15,42,27,3.11
"Akure North",0.443,147,120,177,57,137,158,22,2.59
"Akure South",0.432,102,83,122,39,94,109,15,2.6
"Akwanga",0.491,7377,5935,8604,2669,6963,7791,828,3.22
"Albasu",0.239,0,0,0,0,0,0,0,NA
"Aleiro",0.086,0,0,0,0,0,0,0,NA
"Alimosho",0.699,161,126,189,63,144,177,33,1.91
"Alkaleri",0.398,41892,33692,49602,15910,39045,44802,5757,2.76
"Amuwo Odofin",0.767,188,141,220,79,166,207,41,1.93
"Anambra East",0.396,672,546,801,255,609,736,127,2.01
"Anambra West",0.394,1395,873,1920,1047,1182,1665,483,2.17
"Anaocha",0.324,143,105,183,78,131,156,25,3.12
"Andoni",0.46,15,2,34,32,8,22,14,2.29
"Aninri",0.333,438,346,519,173,403,473,70,2.47
"Aniocha North",0.41,326,270,381,111,303,349,46,2.41
"Aniocha South",0.399,650,513,783,270,597,704,107,2.52
"Anka",0.099,2300,808,4381,3573,1758,2943,1185,3.02
"Ankpa",0.301,3916,2806,5331,2525,3541,4308,767,3.29
"Apa",0.392,2204,1695,2774,1079,2038,2374,336,3.21
"Ardo-Kola",0.125,2575,1829,3488,1659,2259,2920,661,2.51
"Arewa Dandi",0.08,384,104,956,852,209,630,421,2.02
"Argungu",0.071,0,0,0,0,0,0,0,NA
"Arochukwu",0.222,88,57,119,62,77,99,22,2.82
"Asa",0.309,7266,5940,8609,2669,6720,7829,1108,2.41
"Asari-Toru",0.422,9,0,30,30,5,14,10,3
"Askira/Uba",0.587,1377,1060,1748,688,1251,1507,255,2.7
"Atakumosa East",0.382,399,309,496,187,368,431,63,2.97
"Atakumosa West",0.33,441,336,563,227,402,482,79,2.87
"Atiba",0.262,3837,2929,4851,1922,3436,4256,820,2.34
"Atisbo",0.223,5580,3972,7590,3618,4791,6432,1640,2.21
"Augie",0.059,0,0,0,0,0,0,0,NA
"Auyo",0.18,0,0,0,0,0,0,0,NA
"Awe",0.321,14339,12055,16624,4569,13264,15506,2242,2.04
"Awgu",0.3,536,427,649,222,487,588,101,2.2
"Awka North",0.353,696,572,824,252,644,750,106,2.38
"Awka South",0.285,350,281,425,144,317,385,68,2.12
"Ayamelum",0.378,1124,871,1382,511,1017,1236,219,2.33
"Ayedire",0.3,200,156,253,97,182,219,38,2.55
"Babura",0.177,0,0,0,0,0,0,0,NA
"Badagry",0.795,565,356,680,324,492,623,131,2.47
"Bade",0.146,0,0,0,0,0,0,0,NA
"Bagudo",0.134,13670,6608,24979,18371,9313,19145,9832,1.87
"Bagwai",0.193,0,0,0,0,0,0,0,NA
"Bakori",0.162,0,0,0,0,0,0,0,NA
"Bakura",0.068,307,59,724,665,209,434,226,2.94
"Balanga",0.231,0,0,0,0,0,0,0,NA
"Bali",0.088,10816,6895,16291,9397,8982,12893,3911,2.4
"Bama",0.952,0,0,0,0,0,0,0,NA
"Barkin Ladi",0.274,4454,3725,5267,1542,4183,4734,551,2.8
"Baruten",0.174,20492,13375,30101,16726,17117,24229,7113,2.35
"Bassa",0.371,14181,11448,17131,5683,12942,15439,2497,2.28
"Batagarawa",0.113,0,0,0,0,0,0,0,NA
"Batsari",0.096,0,0,0,0,0,0,0,NA
"Bauchi",0.337,24990,20779,28861,8083,23442,26573,3132,2.58
"Baure",0.167,0,0,0,0,0,0,0,NA
"Bayo",0.37,0,0,0,0,0,0,0,NA
"Bebeji",0.252,0,0,0,0,0,0,0,NA
"Bekwarra",0.24,148,123,176,53,137,160,23,2.3
"Bende",0.241,163,118,209,91,146,182,36,2.53
"Biase",0.227,104,68,143,75,89,122,32,2.34
"Bichi",0.209,0,0,0,0,0,0,0,NA
"Billiri",0.266,2351,1676,3007,1331,2159,2550,392,3.4
"Bindawa",0.126,0,0,0,0,0,0,0,NA
"Binji",0.043,0,0,0,0,0,0,0,NA
