"rank","Zone","cattle_at_risk","cumulative_percent","priority_tier"
1,"Dasenech (Kuraz)",357108,7.8405680036025,"Tier 1 (Top 10%)"
2,"Gnangatom",241961,13.152999186101,"Tier 1 (Top 10%)"
3,"Hamer",237769,18.3733919346492,"Tier 1 (Top 10%)"
4,"Omo Nada",70791,19.9276602499572,"Tier 1 (Top 10%)"
5,"Sekoru",70587,21.4774495956742,"Tier 1 (Top 10%)"
6,"Bako Gazer",55913,22.7050605110987,"Tier 1 (Top 10%)"
7,"Kucha",55687,23.9277094307998,"Tier 1 (Top 10%)"
8,"Moyale",55285,25.1415321457184,"Tier 1 (Top 10%)"
9,"Teltele",50824,26.2574103344319,"Tier 1 (Top 10%)"
10,"Mana Sibu",50540,27.3670530948911,"Tier 1 (Top 10%)"
11,"Boricha",47337,28.4063716416236,"Tier 1 (Top 10%)"
12,"Gambela Zuria",46811,29.4341414726457,"Tier 1 (Top 10%)"
13,"Bena Tsemay",44855,30.4189658893532,"Tier 1 (Top 10%)"
14,"Konso",44578,31.3977085679395,"Tier 1 (Top 10%)"
15,"Selamgo",42539,32.3316835063482,"Tier 1 (Top 10%)"
16,"Male",39711,33.2035676310137,"Tier 1 (Top 10%)"
17,"Chena",39344,34.0673940015619,"Tier 1 (Top 10%)"
18,"Zala",37948,34.9005701684378,"Tier 1 (Top 10%)"
19,"Gena Bosa",37576,35.7255788025299,"Tier 1 (Top 10%)"
20,"Assosa",37276,36.5440007166351,"Tier 1 (Top 10%)"
21,"Goma",37137,37.3593707838131,"Tier 1 (Top 10%)"
22,"Chora",36020,38.1502162969065,"Tier 1 (Top 10%)"
23,"Soro",35371,38.9268125390949,"Tier 1 (Top 10%)"
24,"Dedo",35072,39.6968440170297,"Tier 1 (Top 10%)"
25,"Kemba",34017,40.443712196344,"Tier 1 (Top 10%)"
26,"Darimu",33424,41.1775606258174,"Tier 2 (Top 20%)"
27,"Ofa",32370,41.8882677124036,"Tier 2 (Top 20%)"
28,"Konta",32174,42.594671475265,"Tier 2 (Top 20%)"
29,"Debub Bench",32137,43.3002628759947,"Tier 2 (Top 20%)"
30,"Kersa",31620,43.9945031626136,"Tier 2 (Top 20%)"
31,"Arba Minch Zuria",31003,44.6751967617928,"Tier 2 (Top 20%)"
32,"Shebe Sambo",30919,45.3540460793757,"Tier 2 (Top 20%)"
33,"Surma",30749,46.0291629222993,"Tier 2 (Top 20%)"
34,"Tembaro",30607,46.7011620510958,"Tier 2 (Top 20%)"
35,"Mena",30299,47.3663988140391,"Tier 2 (Top 20%)"
36,"Awasa Zuria",30053,48.0262344665931,"Tier 2 (Top 20%)"
37,"Bonke",29611,48.6763656850332,"Tier 2 (Top 20%)"
38,"Damot Gale",29589,49.3260138773408,"Tier 2 (Top 20%)"
39,"Denibu Gofa",29495,49.9735982307192,"Tier 2 (Top 20%)"
40,"Gudetu Kondole",29346,50.6179111798374,"Tier 2 (Top 20%)"
41,"Lalo Kile",29222,51.2595016180278,"Tier 2 (Top 20%)"
42,"Decha",29086,51.8981060764907,"Tier 2 (Top 20%)"
43,"Shay Bench",28835,52.5311996458979,"Tier 2 (Top 20%)"
44,"Melekoza",28290,53.1523273406623,"Tier 2 (Top 20%)"
45,"Humbo",27638,53.7591398973218,"Tier 2 (Top 20%)"
46,"Menit Goldiye",27436,54.3615173958568,"Tier 2 (Top 20%)"
47,"Tocha",26330,54.9396118533735,"Tier 2 (Top 20%)"
48,"Mareka",25930,55.5089240175742,"Tier 2 (Top 20%)"
49,"Gida Ayana",25918,56.0779727129756,"Tier 2 (Top 20%)"
50,"Boloso sore",25899,56.6466042494444,"Tier 2 (Top 20%)"
51,"Kindo Dida",25155,57.1989007203457,"Tier 3 (Top 50%)"
52,"Boloso Bombe",24961,57.7469377789888,"Tier 3 (Top 50%)"
53,"Loka Abaya",24306,58.2805938323271,"Tier 3 (Top 50%)"
54,"Sibu Sire",23709,58.8011423128916,"Tier 3 (Top 50%)"
55,"Gembora",23697,59.3214273246566,"Tier 3 (Top 50%)"
56,"Loma Bosa",23412,59.835454952434,"Tier 3 (Top 50%)"
57,"Miyo",23349,60.3480993690142,"Tier 3 (Top 50%)"
58,"Sayo",23142,60.8561989488034,"Tier 3 (Top 50%)"
59,"Begi",22130,61.3420793265035,"Tier 3 (Top 50%)"
60,"Nejo",22064,61.8265106258065,"Tier 3 (Top 50%)"
61,"Semen Bench",22020,62.3099758728447,"Tier 3 (Top 50%)"
62,"Gidami",21428,62.7804433257754,"Tier 3 (Top 50%)"
63,"Sodo Zuria",21346,63.2491104085764,"Tier 3 (Top 50%)"
64,"Jarso",21213,63.7148573788499,"Tier 3 (Top 50%)"
65,"Maokomo Special",20548,64.1660037864858,"Tier 3 (Top 50%)"
66,"Siraro",20485,64.6157669829244,"Tier 3 (Top 50%)"
67,"Menjiwo",20155,65.0582847873774,"Tier 3 (Top 50%)"
68,"Amaro",20040,65.4982776825021,"Tier 3 (Top 50%)"
69,"Abeshege",19915,65.9355261109656,"Tier 3 (Top 50%)"
70,"Guto Gida",19583,66.3654852359769,"Tier 3 (Top 50%)"
71,"Gawo Kebe",19541,66.7945222201901,"Tier 3 (Top 50%)"
72,"Kiltu Kara",18877,67.2089805974989,"Tier 3 (Top 50%)"
73,"Hadero Tubito",18872,67.6233291961413,"Tier 3 (Top 50%)"
74,"Dera",18648,68.0327597105268,"Tier 3 (Top 50%)"
75,"Enemorina Eaner",18586,68.4408289694484,"Tier 3 (Top 50%)"
76,"Itang",18538,68.847844353172,"Tier 3 (Top 50%)"
77,"Bio Jiganifado",18494,69.2538936846309,"Tier 3 (Top 50%)"
78,"Bambasi",18389,69.6576376640944,"Tier 3 (Top 50%)"
79,"Alge Sachi",18344,70.0603936355599,"Tier 3 (Top 50%)"
80,"Odo Shakiso",18218,70.4603831846308,"Tier 3 (Top 50%)"
81,"Badele Zuria",18213,70.8602629550353,"Tier 3 (Top 50%)"
82,"Burji",18077,71.2571567457124,"Tier 3 (Top 50%)"
83,"Baso Liben",17418,71.6395817081517,"Tier 3 (Top 50%)"
84,"Gibe",17379,72.0211503969926,"Tier 3 (Top 50%)"
85,"Dedesa",17109,72.3967910378453,"Tier 3 (Top 50%)"
86,"Diga",17026,72.770609352835,"Tier 3 (Top 50%)"
87,"Sasiga",16885,73.1413319094308,"Tier 3 (Top 50%)"
88,"Derashe",16741,73.508892840433,"Tier 3 (Top 50%)"
89,"Babo",16607,73.8735117031743,"Tier 3 (Top 50%)"
90,"Gimbo",16473,74.2351884976548,"Tier 3 (Top 50%)"
91,"Chuko",15833,74.5828136228299,"Tier 3 (Top 50%)"
92,"Yeki",15755,74.9287262008085,"Tier 3 (Top 50%)"
93,"Metu Zuria",15684,75.2730799217234,"Tier 3 (Top 50%)"
94,"Esira",15664,75.6169945279726,"Tier 3 (Top 50%)"
95,"Ale",15481,75.9568912350298,"Tier 3 (Top 50%)"
96,"Mirab Abaya",15429,76.2956462439559,"Tier 3 (Top 50%)"
97,"Menit Shasha",15241,76.6302735750235,"Tier 3 (Top 50%)"
98,"Diguna Fango",15073,76.9612123428985,"Tier 3 (Top 50%)"
99,"Cheta",15031,77.2912289699753,"Tier 3 (Top 50%)"
100,"Kindo Koysha",14938,77.6192037138562,"Tier 3 (Top 50%)"
101,"Ubadebretsehay",14936,77.9471345462705,"Tier 3 (Top 50%)"
102,"Dire",14931,78.2749556000184,"Tier 3 (Top 50%)"
103,"Yayu",14923,78.6026010078999,"Tier 3 (Top 50%)"
104,"Damot Sore",14756,78.9265798083221,"Tier 3 (Top 50%)"
105,"Dabo Hana",14570,79.2464748423523,"Tier 3 (Top 50%)"
106,"Guliso",14370,79.5619787297247,"Tier 3 (Top 50%)"
107,"Yem",14350,79.8770435024313,"Tier 3 (Top 50%)"
108,"Dale Sadi",14243,80.1897590116758,"Tier 3 (Top 50%)"
109,"Ayira",14008,80.4973149235973,"Tier 3 (Top 50%)"
110,"Misrak Badawacho",13879,80.8020385459245,"Tier 3 (Top 50%)"
111,"Limu",13859,81.1063230535858,"Tier 3 (Top 50%)"
112,"Ababo",13841,81.410212358048,"Tier 3 (Top 50%)"
113,"Kurmuk",13778,81.7127184513128,"Tier 3 (Top 50%)"
114,"Bure",13661,82.0126557237828,"Tier 3 (Top 50%)"
115,"Boji Chekorsa",13570,82.3105950245235,"Tier 3 (Top 50%)"
116,"Lare",13522,82.6074804500662,"Tier 3 (Top 50%)"
117,"Seka Chekorsa",13467,82.903158310278,"Tier 3 (Top 50%)"
118,"Bule Hora",13452,83.1985068344904,"Tier 3 (Top 50%)"
119,"Gumay",13406,83.4928453949716,"Tier 3 (Top 50%)"
120,"Abaya",13122,83.7809485271984,"Tier 3 (Top 50%)"
121,"Boreda",12902,84.0642213981016,"Tier 3 (Top 50%)"
122,"Dillo",12700,84.3430592108802,"Tier 3 (Top 50%)"
123,"Bensa",12543,84.6184499735324,"Tier 3 (Top 50%)"
124,"Alle",12374,84.8901302172586,"Lower Priority"
125,"Borecha",12357,85.1614372135188,"Lower Priority"
126,"Limu Seka",12330,85.4321514049803,"Lower Priority"
127,"Gelana",12064,85.6970253713867,"Lower Priority"
