"rank","Zone","cattle_at_risk","cumulative_percent","priority_tier"
1,"Dasenech (Kuraz)",357108,7.8405680036025,"Tier 1 (Top 10%)"
2,"Gnangatom",241961,13.152999186101,"Tier 1 (Top 10%)"
3,"Hamer",237769,18.3733919346492,"Tier 1 (Top 10%)"
4,"Omo Nada",70791,19.9276602499572,"Tier 1 (Top 10%)"
5,"Sekoru",70587,21.4774495956742,"Tier 1 (Top 10%)"
6,"Bako Gazer",55913,22.7050605110987,"Tier 1 (Top 10%)"
7,"Kucha",55687,23.9277094307998,"Tier 1 (Top 10%)"
8,"Moyale",55285,25.1415321457184,"Tier 1 (Top 10%)"
9,"Teltele",50824,26.2574103344319,"Tier 1 (Top 10%)"
10,"Mana Sibu",50540,27.3670530948911,"Tier 1 (Top 10%)"
11,"Boricha",47337,28.4063716416236,"Tier 1 (Top 10%)"
12,"Gambela Zuria",46811,29.4341414726457,"Tier 1 (Top 10%)"
13,"Bena Tsemay",44855,30.4189658893532,"Tier 1 (Top 10%)"
14,"Konso",44578,31.3977085679395,"Tier 1 (Top 10%)"
15,"Selamgo",42539,32.3316835063482,"Tier 1 (Top 10%)"
16,"Male",39711,33.2035676310137,"Tier 1 (Top 10%)"
17,"Chena",39344,34.0673940015619,"Tier 1 (Top 10%)"
18,"Zala",37948,34.9005701684378,"Tier 1 (Top 10%)"
19,"Gena Bosa",37576,35.7255788025299,"Tier 1 (Top 10%)"
20,"Assosa",37276,36.5440007166351,"Tier 1 (Top 10%)"
21,"Goma",37137,37.3593707838131,"Tier 1 (Top 10%)"
22,"Chora",36020,38.1502162969065,"Tier 1 (Top 10%)"
23,"Soro",35371,38.9268125390949,"Tier 1 (Top 10%)"
24,"Dedo",35072,39.6968440170297,"Tier 1 (Top 10%)"
25,"Kemba",34017,40.443712196344,"Tier 1 (Top 10%)"
